,ID,UPDATE,STATUS,MOTIVE,INTEREST_RATE,AMOUNT,CAT,TXN,CP,DELIVERY_SCORE
40,15,14/01/2021 14:56,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,15,16/01/2021 22:39,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,15,21/01/2021 22:27,REJECTED,USAGE,NULL,NULL,NULL,NULL,NULL,NULL
43,16,11/02/2021 22:34,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,16,12/02/2021 16:28,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,16,19/02/2021 10:13,APPROVED,PLASTIC,38,10700,44,NULL,NULL,NULL
46,16,02/03/2021 20:43,DELIVERED,NULL,NULL,NULL,NULL,NULL,11560,2
47,17,12/04/2021 17:57,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,17,18/04/2021 23:28,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,17,25/04/2021 16:48,APPROVED,PLASTIC,48,6600,48,NULL,NULL,NULL
50,17,01/05/2021 13:34,DELIVERED,NULL,NULL,NULL,NULL,NULL,44620,3
51,17,09/07/2021 03:54,NULL,NULL,NULL,NULL,NULL,28.17714529,NULL,NULL
52,17,03/08/2021 19:26,NULL,NULL,NULL,NULL,NULL,123.8627528,NULL,NULL
53,18,02/04/2021 22:20,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,18,08/04/2021 07:40,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,18,11/04/2021 18:03,APPROVED,PLASTIC,36,16300,48,NULL,NULL,NULL
56,18,15/04/2021 20:40,DELIVERED,NULL,NULL,NULL,NULL,NULL,53100,2
57,18,12/10/2021 09:29,NULL,NULL,NULL,NULL,NULL,1131.122678,NULL,NULL
58,19,30/08/2021 08:06,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,19,01/09/2021 01:25,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,19,07/09/2021 18:53,APPROVED,PLASTIC,38,21200,35,NULL,NULL,NULL
61,19,13/09/2021 23:15,DELIVERED,NULL,NULL,NULL,NULL,NULL,11560,0
62,20,12/04/2021 15:43,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,20,17/04/2021 02:00,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,20,23/04/2021 11:00,APPROVED,PLASTIC,32,56200,48,NULL,NULL,NULL
65,20,29/04/2021 22:39,DELIVERED,NULL,NULL,NULL,NULL,NULL,44100,2
66,20,12/07/2021 09:10,NULL,NULL,NULL,NULL,NULL,18.24583376,NULL,NULL
67,20,21/07/2021 21:27,NULL,NULL,NULL,NULL,NULL,261.9489261,NULL,NULL
68,22,14/10/2021 02:36,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,22,16/10/2021 01:55,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,22,16/10/2021 13:27,REJECTED,USAGE,NULL,NULL,NULL,NULL,NULL,NULL
71,23,10/09/2021 12:56,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,23,14/09/2021 05:38,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,23,16/09/2021 02:27,REJECTED,MOP,NULL,NULL,NULL,NULL,NULL,NULL
74,24,23/04/2021 11:33,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,24,25/04/2021 02:19,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,24,01/05/2021 06:29,REJECTED,INCOME,NULL,NULL,NULL,NULL,NULL,NULL
77,26,29/05/2021 23:26,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,26,05/06/2021 05:16,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,26,06/06/2021 13:37,APPROVED,PLASTIC,36,14900,47,NULL,NULL,NULL
80,26,11/06/2021 18:12,DELIVERED,NULL,NULL,NULL,NULL,NULL,44100,3
81,27,18/01/2021 19:16,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,27,21/01/2021 00:21,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,27,22/01/2021 13:57,REJECTED,INCOME,NULL,NULL,NULL,NULL,NULL,NULL
84,28,26/05/2021 09:19,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,28,29/05/2021 02:03,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,28,30/05/2021 13:39,APPROVED,PLASTIC,46,14900,37,NULL,NULL,NULL
87,28,04/06/2021 15:36,DELIVERED,NULL,NULL,NULL,NULL,NULL,11560,4
88,28,08/10/2021 02:59,NULL,NULL,NULL,NULL,NULL,107.4273583,NULL,NULL
89,28,21/10/2021 21:38,NULL,NULL,NULL,NULL,NULL,288.9045753,NULL,NULL
90,29,23/03/2021 01:09,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,29,27/03/2021 09:33,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,29,31/03/2021 01:15,APPROVED,PLASTIC,42,51600,42,NULL,NULL,NULL
93,29,31/03/2021 13:02,DELIVERED,NULL,NULL,NULL,NULL,NULL,11560,2
94,30,26/04/2021 09:04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,31,07/10/2021 05:00,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,31,11/10/2021 19:16,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,31,13/10/2021 15:20,APPROVED,PLASTIC,35,39700,37,NULL,NULL,NULL
98,31,24/10/2021 02:47,DELIVERED,NULL,NULL,NULL,NULL,NULL,64000,1
99,31,23/10/2021 11:14,NULL,NULL,NULL,NULL,NULL,239.9107554,NULL,NULL
100,31,22/10/2021 13:14,NULL,NULL,NULL,NULL,NULL,30.66072102,NULL,NULL
101,33,28/07/2021 11:22,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,33,01/08/2021 09:06,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,33,05/08/2021 17:52,APPROVED,PLASTIC,35,36000,43,NULL,NULL,NULL
104,33,06/08/2021 20:17,DELIVERED,NULL,NULL,NULL,NULL,NULL,53100,3
105,33,31/08/2021 08:36,NULL,NULL,NULL,NULL,NULL,189.502785,NULL,NULL
106,35,01/06/2021 09:34,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,35,05/06/2021 02:19,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,35,05/06/2021 06:34,APPROVED,DIGITAL,39,2000,43,NULL,NULL,NULL
109,35,15/08/2021 23:31,NULL,NULL,NULL,NULL,NULL,96.61347961,NULL,NULL
110,35,01/09/2021 01:45,NULL,NULL,NULL,NULL,NULL,827.8906726,NULL,NULL
111,35,10/09/2021 07:32,NULL,NULL,NULL,NULL,NULL,711.5427222,NULL,NULL
112,35,02/10/2021 08:14,NULL,NULL,NULL,NULL,NULL,83.7901251,NULL,NULL
113,35,17/10/2021 04:00,NULL,NULL,NULL,NULL,NULL,119.3415642,NULL,NULL
114,37,26/05/2021 19:16,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115,37,28/05/2021 11:38,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116,37,30/05/2021 10:45,APPROVED,DIGITAL,45,3200,35,NULL,NULL,NULL
117,37,23/07/2021 10:10,NULL,NULL,NULL,NULL,NULL,1529.738176,NULL,NULL
118,38,17/02/2021 09:18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,41,10/01/2021 20:12,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,41,17/01/2021 01:28,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,41,17/01/2021 17:58,REJECTED,USAGE,NULL,NULL,NULL,NULL,NULL,NULL
122,43,27/02/2021 23:55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123,44,29/06/2021 15:29,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,44,04/07/2021 02:14,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,44,05/07/2021 21:14,APPROVED,DIGITAL,49,13200,35,NULL,NULL,NULL
126,45,01/01/2021 11:20,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
127,45,02/01/2021 20:40,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
128,45,06/01/2021 15:34,APPROVED,PLASTIC,35,13000,45,NULL,NULL,NULL
129,45,21/01/2021 08:36,DELIVERED,NULL,NULL,NULL,NULL,NULL,53100,2
130,46,01/07/2021 15:33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
131,47,30/01/2021 04:09,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132,47,03/02/2021 07:54,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
133,47,03/02/2021 18:38,APPROVED,PLASTIC,46,15100,41,NULL,NULL,NULL
134,47,04/02/2021 14:27,DELIVERED,NULL,NULL,NULL,NULL,NULL,44100,3
135,47,25/05/2021 21:04,NULL,NULL,NULL,NULL,NULL,51.24002299,NULL,NULL
136,49,02/08/2021 04:12,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
137,49,09/08/2021 02:44,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
138,49,12/08/2021 10:05,APPROVED,PLASTIC,46,7900,44,NULL,NULL,NULL
139,49,19/08/2021 11:49,DELIVERED,NULL,NULL,NULL,NULL,NULL,53100,2
140,49,15/10/2021 16:06,NULL,NULL,NULL,NULL,NULL,594.7261333,NULL,NULL
141,51,15/04/2021 17:59,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
142,51,20/04/2021 18:28,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
143,51,26/04/2021 13:31,APPROVED,PLASTIC,40,5100,39,NULL,NULL,NULL
144,51,28/04/2021 06:04,DELIVERED,NULL,NULL,NULL,NULL,NULL,11560,1
145,51,21/09/2021 23:52,NULL,NULL,NULL,NULL,NULL,54.19228183,NULL,NULL
146,51,18/10/2021 22:33,NULL,NULL,NULL,NULL,NULL,534.6157337,NULL,NULL
147,51,21/10/2021 00:30,NULL,NULL,NULL,NULL,NULL,377.7184525,NULL,NULL
148,51,21/10/2021 19:25,NULL,NULL,NULL,NULL,NULL,259.6505831,NULL,NULL
149,51,21/10/2021 20:30,NULL,NULL,NULL,NULL,NULL,290.2685821,NULL,NULL
150,52,04/03/2021 19:10,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
151,52,04/03/2021 21:51,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
152,52,05/03/2021 23:54,REJECTED,MOP,NULL,NULL,NULL,NULL,NULL,NULL
153,53,02/02/2021 12:18,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
154,53,04/02/2021 18:19,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
155,53,07/02/2021 15:18,APPROVED,PLASTIC,33,17200,34,NULL,NULL,NULL
156,53,21/02/2021 23:17,DELIVERED,NULL,NULL,NULL,NULL,NULL,11560,3
157,53,22/04/2021 04:28,NULL,NULL,NULL,NULL,NULL,77.98098017,NULL,NULL
158,53,27/06/2021 20:06,NULL,NULL,NULL,NULL,NULL,118.4484228,NULL,NULL
159,53,07/10/2021 04:53,NULL,NULL,NULL,NULL,NULL,1410.012808,NULL,NULL
160,54,24/04/2021 17:11,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
161,54,30/04/2021 19:04,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
162,54,07/05/2021 06:36,REJECTED,EMPTY,NULL,NULL,NULL,NULL,NULL,NULL
163,56,31/08/2021 18:41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
164,57,03/10/2021 16:35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
165,58,06/08/2021 10:55,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
166,58,11/08/2021 10:32,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
167,58,17/08/2021 08:25,APPROVED,DIGITAL,30,17100,32,NULL,NULL,NULL
168,58,08/10/2021 21:43,NULL,NULL,NULL,NULL,NULL,217.3354449,NULL,NULL
169,58,14/10/2021 15:58,NULL,NULL,NULL,NULL,NULL,279.4775294,NULL,NULL
170,58,15/10/2021 04:01,NULL,NULL,NULL,NULL,NULL,26.51169819,NULL,NULL
171,58,20/10/2021 18:57,NULL,NULL,NULL,NULL,NULL,35.95594841,NULL,NULL
172,59,01/07/2021 10:03,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173,59,06/07/2021 11:30,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
174,59,07/07/2021 19:01,APPROVED,PLASTIC,49,4800,40,NULL,NULL,NULL
175,59,10/07/2021 14:32,DELIVERED,NULL,NULL,NULL,NULL,NULL,64000,1
176,59,24/08/2021 15:55,NULL,NULL,NULL,NULL,NULL,575.3818641,NULL,NULL
177,59,28/09/2021 13:57,NULL,NULL,NULL,NULL,NULL,999.1450206,NULL,NULL
178,59,15/10/2021 13:02,NULL,NULL,NULL,NULL,NULL,640.7733108,NULL,NULL
179,60,12/02/2021 23:23,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
180,60,16/02/2021 12:38,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
181,60,23/02/2021 04:49,APPROVED,PLASTIC,31,13100,36,NULL,NULL,NULL
182,60,03/03/2021 12:11,DELIVERED,NULL,NULL,NULL,NULL,NULL,44620,2
183,60,27/05/2021 18:29,NULL,NULL,NULL,NULL,NULL,163.5850142,NULL,NULL
184,60,15/09/2021 02:04,NULL,NULL,NULL,NULL,NULL,7959.955537,NULL,NULL
185,62,03/02/2021 06:41,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
186,62,10/02/2021 02:35,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
187,62,13/02/2021 13:21,APPROVED,DIGITAL,43,8200,34,NULL,NULL,NULL
188,62,24/02/2021 07:27,NULL,NULL,NULL,NULL,NULL,126.6828149,NULL,NULL
189,62,29/04/2021 18:46,NULL,NULL,NULL,NULL,NULL,1054.384175,NULL,NULL
190,62,21/05/2021 11:57,NULL,NULL,NULL,NULL,NULL,99.20259856,NULL,NULL
191,62,08/07/2021 04:11,NULL,NULL,NULL,NULL,NULL,137.3731216,NULL,NULL
192,64,01/03/2021 00:49,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
193,64,05/03/2021 00:50,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
194,64,11/03/2021 19:09,APPROVED,PLASTIC,33,15300,39,NULL,NULL,NULL
195,64,21/03/2021 04:31,DELIVERED,NULL,NULL,NULL,NULL,NULL,44620,2
196,64,06/09/2021 08:48,NULL,NULL,NULL,NULL,NULL,16404.2983,NULL,NULL
197,64,13/09/2021 05:14,NULL,NULL,NULL,NULL,NULL,23157.11791,NULL,NULL
198,64,20/10/2021 12:52,NULL,NULL,NULL,NULL,NULL,373.2864394,NULL,NULL
199,65,23/05/2021 07:28,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
200,65,24/05/2021 17:48,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
201,65,29/05/2021 22:52,APPROVED,DIGITAL,36,5200,43,NULL,NULL,NULL
202,65,23/09/2021 20:16,NULL,NULL,NULL,NULL,NULL,35.11541157,NULL,NULL
203,65,30/09/2021 03:11,NULL,NULL,NULL,NULL,NULL,780.6038431,NULL,NULL
204,66,06/10/2021 20:07,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
205,66,12/10/2021 02:55,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
206,66,15/10/2021 09:29,REJECTED,USAGE,NULL,NULL,NULL,NULL,NULL,NULL
207,68,10/04/2021 07:57,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
208,68,16/04/2021 18:05,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
209,68,21/04/2021 15:03,REJECTED,INCOME,NULL,NULL,NULL,NULL,NULL,NULL
210,69,17/10/2021 19:52,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
211,69,21/10/2021 04:22,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
212,69,23/10/2021 04:06,APPROVED,PLASTIC,30,14800,31,NULL,NULL,NULL
213,69,24/10/2021 18:09,DELIVERED,NULL,NULL,NULL,NULL,NULL,44100,4
214,69,22/10/2021 08:03,NULL,NULL,NULL,NULL,NULL,117.1275275,NULL,NULL
215,69,22/10/2021 06:23,NULL,NULL,NULL,NULL,NULL,244.3767827,NULL,NULL
216,69,22/10/2021 02:58,NULL,NULL,NULL,NULL,NULL,558.3251414,NULL,NULL
217,70,26/08/2021 15:44,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
218,70,31/08/2021 23:11,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
219,70,05/09/2021 06:45,REJECTED,EMPTY,NULL,NULL,NULL,NULL,NULL,NULL
220,71,25/05/2021 10:22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
221,72,18/08/2021 09:41,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
222,72,23/08/2021 23:31,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
223,72,27/08/2021 06:04,APPROVED,PLASTIC,32,300,32,NULL,NULL,NULL
224,72,08/09/2021 22:00,DELIVERED,NULL,NULL,NULL,NULL,NULL,53100,0
225,72,13/09/2021 00:39,NULL,NULL,NULL,NULL,NULL,3358.294171,NULL,NULL
226,75,02/03/2021 10:27,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
227,75,08/03/2021 13:57,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
228,75,10/03/2021 16:04,APPROVED,DIGITAL,37,0,42,NULL,NULL,NULL
229,76,15/07/2021 22:54,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
230,76,22/07/2021 01:34,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
231,76,24/07/2021 13:41,APPROVED,DIGITAL,47,39200,42,NULL,NULL,NULL
232,76,29/08/2021 13:10,NULL,NULL,NULL,NULL,NULL,56.20647139,NULL,NULL
233,77,02/04/2021 20:04,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
234,77,06/04/2021 05:35,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
235,77,08/04/2021 11:28,APPROVED,DIGITAL,45,2900,32,NULL,NULL,NULL
236,77,21/09/2021 08:31,NULL,NULL,NULL,NULL,NULL,81.21768078,NULL,NULL
237,77,23/09/2021 23:51,NULL,NULL,NULL,NULL,NULL,9461.727153,NULL,NULL
238,77,11/10/2021 20:24,NULL,NULL,NULL,NULL,NULL,18.3832334,NULL,NULL
239,77,15/10/2021 20:25,NULL,NULL,NULL,NULL,NULL,533.3906621,NULL,NULL
240,78,24/01/2021 18:22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
241,79,12/01/2021 15:12,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
242,79,13/01/2021 21:19,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
243,79,19/01/2021 21:22,APPROVED,PLASTIC,38,78900,35,NULL,NULL,NULL
244,79,25/01/2021 09:38,DELIVERED,NULL,NULL,NULL,NULL,NULL,53100,1
245,79,07/04/2021 05:21,NULL,NULL,NULL,NULL,NULL,4106.537792,NULL,NULL
246,79,11/08/2021 16:21,NULL,NULL,NULL,NULL,NULL,44.99856153,NULL,NULL
247,79,10/10/2021 07:07,NULL,NULL,NULL,NULL,NULL,2.800887013,NULL,NULL
248,79,14/10/2021 17:01,NULL,NULL,NULL,NULL,NULL,57.08818007,NULL,NULL
249,80,11/05/2021 00:07,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
250,80,12/05/2021 01:31,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
251,80,17/05/2021 03:04,REJECTED,MOP,NULL,NULL,NULL,NULL,NULL,NULL
252,81,04/10/2021 19:08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
253,83,16/06/2021 21:45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
254,85,29/04/2021 13:27,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
255,85,03/05/2021 20:34,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
256,85,06/05/2021 03:09,REJECTED,INCOME,NULL,NULL,NULL,NULL,NULL,NULL
257,86,01/06/2021 18:27,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
258,86,05/06/2021 03:36,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
259,86,09/06/2021 17:25,REJECTED,EMPTY,NULL,NULL,NULL,NULL,NULL,NULL
260,88,08/08/2021 20:17,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
261,88,12/08/2021 00:36,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
262,88,12/08/2021 23:26,APPROVED,PLASTIC,38,18200,43,NULL,NULL,NULL
263,88,20/08/2021 14:15,DELIVERED,NULL,NULL,NULL,NULL,NULL,53100,3
264,88,30/09/2021 16:40,NULL,NULL,NULL,NULL,NULL,507.3562627,NULL,NULL
265,89,03/03/2021 14:18,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
266,89,10/03/2021 12:23,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
267,89,10/03/2021 14:24,APPROVED,PLASTIC,36,4300,39,NULL,NULL,NULL
268,89,11/03/2021 03:55,DELIVERED,NULL,NULL,NULL,NULL,NULL,44100,3
269,89,14/09/2021 21:30,NULL,NULL,NULL,NULL,NULL,149.7448582,NULL,NULL
270,89,09/10/2021 15:47,NULL,NULL,NULL,NULL,NULL,1682.415673,NULL,NULL
271,89,11/10/2021 08:41,NULL,NULL,NULL,NULL,NULL,138.8226505,NULL,NULL
272,89,13/10/2021 06:24,NULL,NULL,NULL,NULL,NULL,1355.411819,NULL,NULL
273,89,14/10/2021 03:25,NULL,NULL,NULL,NULL,NULL,46.09894062,NULL,NULL
274,92,29/04/2021 18:17,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
275,92,06/05/2021 18:01,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
276,92,11/05/2021 21:24,APPROVED,PLASTIC,43,1700,37,NULL,NULL,NULL
277,92,16/05/2021 00:18,DELIVERED,NULL,NULL,NULL,NULL,NULL,11560,1
278,94,26/08/2021 11:21,RESPONSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
279,94,01/09/2021 18:32,RISK,NULL,NULL,NULL,NULL,NULL,NULL,NULL
280,94,04/09/2021 04:10,APPROVED,DIGITAL,42,200,34,NULL,NULL,NULL
281,94,11/09/2021 12:43,NULL,NULL,NULL,NULL,NULL,3797.149191,NULL,NULL
282,94,09/10/2021 07:29,NULL,NULL,NULL,NULL,NULL,772.8277326,NULL,NULL
283,94,15/10/2021 08:09,NULL,NULL,NULL,NULL,NULL,56.89397721,NULL,NULL
284,94,18/10/2021 17:45,NULL,NULL,NULL,NULL,NULL,1667.141639,NULL,NULL
285,94,20/10/2021 14:42,NULL,NULL,NULL,NULL,NULL,78.58900052,NULL,NULL
286,96,13/01/2021 04:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
